Dag	Måned	År	Temp	Nedbør	Vind
01	jan	2019	4.8	25.2	11.9
02	jan	2019	1.8	1.5	3.3
03	jan	2019	2.2	0.3	1.8
04	jan	2019	6.5	9.3	3.7
05	jan	2019	7.5	31.5	2.7
06	jan	2019	5.8	5.3	1.9
07	jan	2019	3.9	6.1	4.7
08	jan	2019	4.1	11.7	6.8
09	jan	2019	1.5	0	2.3
10	jan	2019	4	0.4	4
11	jan	2019	4.5	7.4	4.3
12	jan	2019	3.5	0.1	3.9
13	jan	2019	3.2	17.8	7.1
14	jan	2019	-0.1	6.6	5.9
15	jan	2019	2.6	5	4
16	jan	2019	3.1	12.9	4.7
17	jan	2019	-0.2	8.2	3.7
18	jan	2019	0.4	3.9	2.9
19	jan	2019	1.7	4.5	1.9
20	jan	2019	1.2	2.1	3.4
21	jan	2019	1.9	15.2	2.9
22	jan	2019	4.2	0	7
23	jan	2019	2.8	0	3.7
24	jan	2019	1.8	2.9	4.1
25	jan	2019	1.8	0.4	6.8
26	jan	2019	2	3	4.2
27	jan	2019	0.5	1.1	4.2
28	jan	2019	-2.7	0	1.7
29	jan	2019	0.9	2.2	4.9
30	jan	2019	3.9	6.3	7.2
31	jan	2019	2.4	0	5.1
01	feb	2019	2.5	0	4.1
02	feb	2019	-0.9	0.1	2.1
03	feb	2019	0.9	0.2	3.5
04	feb	2019	3.1	2.7	3.8
05	feb	2019	1.4	2.2	1.9
06	feb	2019	4.1	0	6
07	feb	2019	4.5	8.1	3.7
08	feb	2019	4.2	4.6	5.6
09	feb	2019	5.6	8.8	3.3
10	feb	2019	3.8	5.6	3.7
11	feb	2019	1.6	0	4.9
12	feb	2019	3.3	2.7	5.3
13	feb	2019	7.6	22.7	5.2
14	feb	2019	7.6	0.7	6.6
15	feb	2019	9	2.1	7.8
16	feb	2019	6.8	2.4	4.3
17	feb	2019	8.7	4.1	6.1
18	feb	2019	7.5	1.4	6.5
19	feb	2019	5.7	14.6	4
20	feb	2019	4	6.4	4.4
21	feb	2019	7.5	19.9	2.5
22	feb	2019	8.2	1.4	6.5
23	feb	2019	8.8	0	7.7
24	feb	2019	7.5	0.3	3.5
25	feb	2019	6.9	0.1	2.7
26	feb	2019	8.8	1.4	2.9
27	feb	2019	6.1	0.1	2.3
28	feb	2019	4.5	4.5	3.7
01	mar	2019	3.1	0	2.4
02	mar	2019	3.7	0	5.4
03	mar	2019	6.4	4.2	4.2
04	mar	2019	6	12.6	2.2
05	mar	2019	4.7	1.2	2.5
06	mar	2019	5.4	10	4.3
07	mar	2019	4.7	7.3	3.3
