Dag	Måned	År	Temp	Nedbør	Vind
09	mai	2021	10.1	3.5	8.1
10	mai	2021	12.1	10.5	12.9
11	mai	2021	13	3.9	12.1
12	mai	2021	12.9	0	5.4
13	mai	2021	11.2	0.1	5.2
14	mai	2021	13.4	0.1	4.2
15	mai	2021	13.2	0.4	4.3
16	mai	2021	9.8	2.4	5.5
17	mai	2021	11.6	1.3	6.9
18	mai	2021	8.8	1.8	5.7
19	mai	2021	9.5	5.2	4.2
20	mai	2021	9.4	0.7	6.1
21	mai	2021	10.1	0	5.4
22	mai	2021	12.2	0	4.5
23	mai	2021	11.8	2.7	4.3
24	mai	2021	11.3	16.5	6.6
25	mai	2021	13.4	2.4	8.6
26	mai	2021	16.4	0.1	8.7
27	mai	2021	15.9	0	5.3
28	mai	2021	13.9	0	5.5
29	mai	2021	13.6	0.1	6.2
30	mai	2021	13.5	0	4.9
31	mai	2021	13.1	0	4.7
01	jun	2021	15.9	0	4.8
02	jun	2021	18.8	0	5.4
03	jun	2021	20.2	0	7.8
04	jun	2021	17.2	0	7.9
05	jun	2021	17.5	0.4	4.2
06	jun	2021	16	2.2	4.9
07	jun	2021	15.6	0	5.1
08	jun	2021	16.5	0	4.7
09	jun	2021	16.7	0	7.4
10	jun	2021	15.8	5.5	6.6
11	jun	2021	14.9	5.5	8.6
12	jun	2021	11.9	2.3	6.9
13	jun	2021	11.6	2.1	10.7
14	jun	2021	11.3	49	7
15	jun	2021	10.9	19.1	6.2
16	jun	2021	13.6	0.9	10.1
17	jun	2021	15.7	3.7	8.1
18	jun	2021	13.7	9.3	6.3
19	jun	2021	13.6	0	5.4
20	jun	2021	13.3	2.7	4.9
21	jun	2021	13.2	3.4	7.2
22	jun	2021	14.4	0.1	6.4
23	jun	2021	14.3	0	5.5
24	jun	2021	15.7	0	6
25	jun	2021	16.8	2.9	4.4
26	jun	2021	15.3	0	5.4
27	jun	2021	14.9	0	5.2
28	jun	2021	14	0	5.4
29	jun	2021	14.9	0	6
30	jun	2021	19.7	0	4.6
01	jul	2021	20.3	0	5.4
02	jul	2021	20.5	0	5.1
03	jul	2021	16.2	4.5	6.1
04	jul	2021	18.9	5.2	6.7
05	jul	2021	20.2	1	6.2
06	jul	2021	18.2	13.3	6.5
07	jul	2021	16.8	0.5	8.8
08	jul	2021	15.6	2.9	6
09	jul	2021	15.8	22.3	5
10	jul	2021	15.8	5.7	4.4
11	jul	2021	16	5.7	5.2
12	jul	2021	18	0.1	5.1
13	jul	2021	20.4	0	4.2
14	jul	2021	18.9	2.8	4.7
15	jul	2021	16	0.3	6.7
16	jul	2021	16.3	0.6	5.4
17	jul	2021	14.7	0.8	6.7
18	jul	2021	12.8	10.3	6.8
19	jul	2021	13.6	0.8	5.1
20	jul	2021	13.5	0.6	5.8
21	jul	2021	14.9	0.7	6.1
22	jul	2021	14.8	0	6.5
23	jul	2021	17.5	0	5.9
24	jul	2021	16.6	0	4.4
25	jul	2021	21.5	0	5.3
26	jul	2021	22.1	0.1	6
27	jul	2021	19.4	1.7	4.8
28	jul	2021	18.3	10.7	5.2
29	jul	2021	17	9.6	5.4
30	jul	2021	17.8	5.5	5.6
31	jul	2021	14.8	0	6.5
01	aug	2021	15.5	0	9.7
02	aug	2021	13.8	0	7.6
03	aug	2021	13.2	0	5.4
04	aug	2021	14.4	0	5.2
05	aug	2021	16.3	0	6.4
06	aug	2021	19	0	7.8
07	aug	2021	19.9	0.5	8.4
08	aug	2021	18.4	0	5.1
09	aug	2021	16.6	0.9	5.6
10	aug	2021	17.4	21.3	5.2
11	aug	2021	17	0	4.5
12	aug	2021	16.6	0.1	8.1
13	aug	2021	14.6	3.4	6.5
14	aug	2021	14.8	6.6	7.3
15	aug	2021	12.8	19	5.3
16	aug	2021	15.7	6	6
17	aug	2021	15	0.1	5.8
18	aug	2021	14.1	0.1	8
19	aug	2021	14.3	1	8.4
20	aug	2021	13.7	0.2	6
21	aug	2021	14	0	5.2
22	aug	2021	14.8	0	4.7
23	aug	2021	14.7	0.1	4.9
24	aug	2021	14.6	0	4.5
25	aug	2021	15.6	7.4	9.4
26	aug	2021	17	0	9.2
27	aug	2021	16.3	0	7.2
28	aug	2021	15.7	0	5.1
29	aug	2021	15.5	0	5.2
30	aug	2021	14.2	0	5.8
31	aug	2021	15.3	0	7.7
01	sep	2021	15.2	0	7.6
02	sep	2021	13.4	0	7.1
03	sep	2021	13.3	1.3	6.8
04	sep	2021	12.1	0	5.1
05	sep	2021	14	0	7.1
06	sep	2021	14.1	0	7.6
07	sep	2021	14.9	2	6.9
08	sep	2021	17	12.7	6.1
09	sep	2021	17.9	0.9	5.4
10	sep	2021	17.6	0	3
11	sep	2021	16.3	3.2	6.4
12	sep	2021	13.3	20.2	7.9
13	sep	2021	12.3	0	5.6
14	sep	2021	11.4	0	4.9
15	sep	2021	13.2	0	3.1
16	sep	2021	13.7	1.2	3.5
17	sep	2021	13.8	0.7	4.5
18	sep	2021	14.5	0	6
19	sep	2021	14.4	0	6.6
20	sep	2021	12.9	0	8.6
21	sep	2021	12.6	11.9	9
22	sep	2021	13.4	0.9	8.2
23	sep	2021	9.9	41.9	9
24	sep	2021	10.4	24.2	8.9
25	sep	2021	11.4	36.3	5.8
26	sep	2021	16.1	0.1	8.1
27	sep	2021	19	0.2	9.9
28	sep	2021	13.4	20.9	12.4
29	sep	2021	15.2	0	7.7
30	sep	2021	13.2	1.4	7.4
01	okt	2021	12.9	3.4	9.5
02	okt	2021	11.7	10.3	8.5
03	okt	2021	13.6	5.5	15.9
04	okt	2021	11.7	20.4	12.6
05	okt	2021	11	39.2	5.6
06	okt	2021	10	3.5	4
07	okt	2021	11.1	4.6	7.4
08	okt	2021	14.2	46	9.7
09	okt	2021	13.8	31	10.2
10	okt	2021	11.3	33.4	6.7
11	okt	2021	7.1	26.4	8.3
12	okt	2021	6.5	13.7	7.1
13	okt	2021	7.2	0.1	9.2
14	okt	2021	10.8	18.4	7.7
15	okt	2021	7.7	31.8	10.4
16	okt	2021	7	16.9	6.2
17	okt	2021	4.7	4.6	2.8
18	okt	2021	4.5	0	2.3
19	okt	2021	11	4.8	9.9
20	okt	2021	10.6	56.9	8.1
21	okt	2021	5	27.6	11.7
22	okt	2021	4.6	8.8	12.5
23	okt	2021	6.6	7.2	9.2
24	okt	2021	10.3	2.2	10.7
25	okt	2021	10.6	50.7	7.9
26	okt	2021	9.1	10.5	6.5
27	okt	2021	11.9	32.3	8.4
28	okt	2021	12.1	26	7.9
29	okt	2021	13.7	87.9	11.9
30	okt	2021	11.9	10.6	13.9
31	okt	2021	10.6	6.7	10.2
01	nov	2021	11.2	13.8	12.1
02	nov	2021	9.6	7.7	10.7
03	nov	2021	8	0.8	6
04	nov	2021	6.7	1.9	3.9
05	nov	2021	7	5.2	4.9
06	nov	2021	6.9	15.5	7.7
07	nov	2021	8.2	25	11.4
08	nov	2021	7.5	12.7	7.6
09	nov	2021	9.6	25.8	9.7
10	nov	2021	8.2	7.3	7.6
11	nov	2021	7.1	13.3	8.9
12	nov	2021	7.7	7.4	7.4
13	nov	2021	8.6	0.5	9.6
14	nov	2021	5.8	0	4.4
15	nov	2021	8.4	0	9.5
16	nov	2021	9.3	29.2	8.2
17	nov	2021	6.1	36.5	9
18	nov	2021	7.5	10.2	8.1
19	nov	2021	9.1	35.5	9.6
20	nov	2021	6.3	7.2	5.6
21	nov	2021	3.1	13.5	6.1
22	nov	2021	4.9	2.2	6.1
23	nov	2021	7.2	12.4	5.9
24	nov	2021	6.8	18.9	5.7
25	nov	2021	2.5	23.1	7.4
26	nov	2021	2.5	0.1	8.3
27	nov	2021	00.5	0	2.9
28	nov	2021	04	0	2.2
29	nov	2021	02	0	9.7
30	nov	2021	0.6	8.1	12.8
01	des	2021	02.5	0.1	2.8
02	des	2021	02.1	0.2	5.2
03	des	2021	0.2	2.3	5.5
04	des	2021	2.6	0.6	11.7
05	des	2021	0.9	0.9	6.5
06	des	2021	1.5	0	11.9
07	des	2021	4.1	0.1	9.9
08	des	2021	3.1	0	12.6
09	des	2021	4.5	0	10
10	des	2021	3.3	0	13.1
11	des	2021	0.5	0	8.6
12	des	2021	5.1	2.4	10.2
13	des	2021	7.1	2.2	10.1
14	des	2021	6.3	11.2	9
15	des	2021	9.2	57	7.4
16	des	2021	7.3	2.6	7.8
17	des	2021	7.7	4.8	4.3
18	des	2021	7.6	4.6	5.7
19	des	2021	3.8	3.6	9.1
