fornavn	1950	1960	1970	1980	1990	2000
Aagot	0	0	0	0	0	0
Aase	73	41	22	6	6	7
Aashild	14	5	0	0	0	0
Aasta	0	0	0	0	0	0
Abigail	0	0	0	0	4	5
Ada	13	0	6	0	10	37
Adele	0	0	4	0	7	11
Adelen	0	0	0	0	0	0
Adelina	0	0	0	0	9	0
Adriana	0	0	7	14	7	6
Agata	0	0	7	22	21	4
Agathe	0	0	0	4	0	6
Agne	0	0	0	7	20	0
Agnes	42	19	12	16	16	31
Agnete	0	0	7	15	11	7
Agnethe	4	0	6	13	12	0
Agnieszka	0	0	25	80	48	0
Aida	0	0	9	10	12	9
Aileen	0	0	4	7	6	0
Ailin	0	0	6	9	16	11
Aina	24	55	111	82	62	24
Aisha	0	0	0	7	15	22
Alba	0	0	0	0	6	7
Aleksandra	0	0	8	30	60	28
Alette	0	0	0	4	0	9
Alexandra	0	0	8	21	61	72
Alfhild	20	7	0	4	0	0
Alice	11	20	21	26	27	25
Alicia	0	0	0	0	6	0
Alicja	0	0	0	6	9	0
Alida	0	0	0	0	0	16
Alina	0	4	7	22	26	16
Aline	0	0	0	7	7	0
Alisa	0	0	0	4	4	7
Alise	12	8	0	0	6	11
Alma	7	0	6	18	0	10
Alva	0	0	0	0	0	18
Alvhild	12	0	0	0	0	0
Alvilde	0	0	0	0	0	11
Amal	0	0	4	7	9	13
Amalia	0	0	0	0	0	0
Amalie	0	0	0	0	29	314
Amanda	0	0	0	5	66	115
Amelia	0	0	0	0	0	10
Amelie	0	0	0	0	0	0
Amina	5	8	10	18	19	19
Amira	0	0	0	6	5	4
Amna	0	0	0	0	11	0
Amy	0	0	5	0	6	11
Ana	0	13	19	48	30	17
Anastasia	0	0	0	7	15	12
Anbjørg	8	5	0	0	0	0
Andrea	0	8	10	28	196	325
Andrine	0	0	0	4	4	154
Ane	4	8	27	60	106	110
Aneta	0	0	5	19	13	0
Anett	0	0	25	15	5	0
Anette	0	30	169	306	250	68
Angela	4	8	11	17	14	9
Angelica	0	0	5	8	9	21
Angelika	4	0	7	0	11	8
Angelina	0	0	4	0	0	5
Anine	0	0	7	6	17	37
Anisa	0	0	0	4	0	0
Anita	50	431	665	223	115	30
Anja	0	8	92	101	84	45
Anlaug	11	5	0	0	0	0
Ann	124	341	404	244	150	37
Ann-Christin	0	8	28	0	0	0
Ann-Helen	0	4	19	16	6	0
Ann-Karin	17	18	21	9	0	0
Ann-Kristin	0	36	90	60	27	0
Ann-Mari	21	17	12	5	0	0
Anna	121	94	125	292	271	387
Annabelle	0	0	0	0	0	0
Annbjørg	27	17	8	5	6	6
Anne	1491	1760	1130	513	331	164
Anne-Berit	7	10	10	0	0	0
