fornavn	år	antall
Aagot	1950	0
Aase	1950	73
Aashild	1950	14
Aasta	1950	0
Abigail	1950	0
Ada	1950	13
Adele	1950	0
Adelen	1950	0
Adelina	1950	0
Adriana	1950	0
Agata	1950	0
Agathe	1950	0
Agne	1950	0
Agnes	1950	42
Agnete	1950	0
Agnethe	1950	4
Agnieszka	1950	0
Aida	1950	0
Aileen	1950	0
Ailin	1950	0
Aina	1950	24
Aisha	1950	0
Alba	1950	0
Aleksandra	1950	0
Alette	1950	0
Alexandra	1950	0
Alfhild	1950	20
Alice	1950	11
Alicia	1950	0
Alicja	1950	0
Alida	1950	0
Alina	1950	0
Aline	1950	0
Alisa	1950	0
Alise	1950	12
Alma	1950	7
Alva	1950	0
Alvhild	1950	12
Alvilde	1950	0
Amal	1950	0
Amalia	1950	0
Amalie	1950	0
Amanda	1950	0
Amelia	1950	0
Amelie	1950	0
Amina	1950	5
Amira	1950	0
Amna	1950	0
Amy	1950	0
Ana	1950	0
Anastasia	1950	0
Anbjørg	1950	8
Andrea	1950	0
Andrine	1950	0
Ane	1950	4
Aneta	1950	0
Anett	1950	0
Anette	1950	0
Angela	1950	4
Angelica	1950	0
Angelika	1950	4
Angelina	1950	0
Anine	1950	0
Anisa	1950	0
Anita	1950	50
Anja	1950	0
Anlaug	1950	11
Ann	1950	124
Ann-Christin	1950	0
Ann-Helen	1950	0
Ann-Karin	1950	17
Ann-Kristin	1950	0
Ann-Mari	1950	21
Anna	1950	121
Annabelle	1950	0
Annbjørg	1950	27
Anne	1950	1491
Anne-Berit	1950	7
Anne-Britt	1950	18
Anne-Grete	1950	11
Anne-Grethe	1950	28
Anne-Kari	1950	8
Anne-Karin	1950	21
Anne-Kristin	1950	0
Anne-Lene	1950	0
Anne-Lise	1950	94
Anne-Mari	1950	9
Anne-Marie	1950	39
Anne-Marit	1950	0
Anne-Mette	1950	5
Anne-Sofie	1950	6
Anneli	1950	0
Annelise	1950	9
Annette	1950	0
Anni	1950	12
Annie	1950	28
Annika	1950	0
Anniken	1950	0
Annlaug	1950	25
Anny	1950	57
Antonia	1950	0
Aria	1950	0
Ariana	1950	0
Ariel	1950	0
Arna	1950	13
Arnhild	1950	50
Arya	1950	0
Asbjørg	1950	30
Asha	1950	0
Aslaug	1950	70
Asma	1950	0
Asta	1950	7
Astri	1950	39
Astrid	1950	384
Aud	1950	415
Audhild	1950	41
Audny	1950	7
Aurora	1950	0
Ausra	1950	0
Ava	1950	0
Aya	1950	0
Ayan	1950	0
Ayla	1950	0
Aylin	1950	0
Ayse	1950	4
Azra	1950	0
Barbara	1950	14
Barbro	1950	20
Beata	1950	0
Beate	1950	16
Beathe	1950	5
Beatrice	1950	0
Belinda	1950	0
Bella	1950	0
Benedicte	1950	0
Benedikte	1950	0
Bente	1950	259
Benthe	1950	7
Bergljot	1950	7
Berit	1950	618
Bertha	1950	5
Bertine	1950	0
Betina	1950	0
Bettina	1950	0
Betty	1950	9
Bianca	1950	0
Birgit	1950	105
Birgitta	1950	5
Birgitte	1950	6
Birte	1950	4
Birthe	1950	4
Bjørg	1950	548
Bodil	1950	205
Borghild	1950	41
Borgny	1950	30
Bozena	1950	0
Brit	1950	258
Brita	1950	44
Brith	1950	32
Britt	1950	213
Brynhild	1950	12
Bushra	1950	0
Camilla	1950	0
Carina	1950	0
Carine	1950	0
Carla	1950	0
Carmen	1950	0
Carolina	1950	0
Caroline	1950	0
Cassandra	1950	0
Catharina	1950	0
Catherine	1950	0
Cathrin	1950	0
Cathrine	1950	0
Catrine	1950	0
Cecilia	1950	0
Cecilie	1950	10
Celia	1950	0
Celina	1950	0
Celine	1950	0
Cesilie	1950	0
Charlotte	1950	0
Christel	1950	0
Christiane	1950	0
Christin	1950	0
Christina	1950	5
Christine	1950	6
Cicilie	1950	0
Cindy	1950	0
Clara	1950	0
Claudia	1950	0
Connie	1950	0
Cornelia	1950	0
Cristina	1950	0
Dagmar	1950	7
Dagny	1950	36
Dagrun	1950	22
Daiva	1950	0
Dalia	1950	0
Dana	1950	0
Daniela	1950	0
Daniella	1950	0
Danuta	1950	9
Daria	1950	0
Deborah	1950	0
Desiree	1950	0
Diana	1950	0
Dina	1950	4
Dominika	1950	0
Doris	1950	8
Dorota	1950	0
Dorthe	1950	5
Dorthea	1950	0
Ea	1950	0
Ebba	1950	5
Edda	1950	0
Edel	1950	50
Eden	1950	0
Edit	1950	0
Edita	1950	0
Edith	1950	31
Edle	1950	7
Edna	1950	7
Edyta	1950	0
Egle	1950	0
Eileen	1950	11
Eilen	1950	0
Eilin	1950	0
Eir	1950	0
Eira	1950	0
Eiril	1950	0
Eirill	1950	0
Eirin	1950	14
Eivor	1950	9
Ekaterina	1950	0
Elbjørg	1950	10
Eldbjørg	1950	60
Eldrid	1950	12
Elea	1950	0
Eleah	1950	0
Elen	1950	4
Elena	1950	7
Elfrid	1950	11
Eli	1950	232
Eliana	1950	0
Elida	1950	0
Elin	1950	189
Elina	1950	0
Eline	1950	0
Elinor	1950	6
Elisa	1950	0
Elisabet	1950	14
Elisabeth	1950	204
Elise	1950	15
Eliza	1950	0
Elizabeth	1950	10
Ella	1950	30
Elle	1950	0
Ellen	1950	270
Ellie	1950	0
Ellinor	1950	61
Elly	1950	12
Elma	1950	0
Elna	1950	21
Elsa	1950	76
Else	1950	350
Else-Marie	1950	12
Elsie	1950	7
Elvira	1950	0
Elzbieta	1950	7
Ema	1950	0
Embla	1950	0
Emelie	1950	0
Emely	1950	0
Emilia	1950	0
Emilie	1950	0
Emilija	1950	0
Emily	1950	0
Emina	1950	0
Emine	1950	0
Emma	1950	7
Emmeli	1950	0
Emmeline	1950	0
Emmy	1950	5
Enya	1950	0
Erica	1950	0
Erika	1950	0
Erle	1950	0
Erna	1950	63
Ester	1950	29
Esther	1950	12
Eva	1950	458
Evelina	1950	0
Evelyn	1950	32
Evy	1950	58
Ewa	1950	0
Ewelina	1950	0
Fadumo	1950	0
Fanny	1950	0
Farah	1950	0
Fatemeh	1950	4
Fatima	1950	0
Fatma	1950	6
Felicia	1950	0
Filippa	1950	0
Fiona	1950	0
Fredrikke	1950	0
Freya	1950	0
Frid	1950	0
Frida	1950	6
Fride	1950	0
Frøya	1950	0
Frøydis	1950	47
Gabriela	1950	0
Gabriele	1950	0
Gabriella	1950	0
Gabrielle	1950	0
Galina	1950	6
Gerd	1950	413
Gerda	1950	16
Gina	1950	0
Gine	1950	0
Gintare	1950	0
Gitte	1950	0
Gjertrud	1950	21
Gloria	1950	0
Grace	1950	0
Grazyna	1950	0
Greta	1950	58
Grete	1950	296
Gretha	1950	13
Grethe	1950	305
Gro	1950	118
Gry	1950	10
Gudny	1950	9
Gudrun	1950	38
Gudveig	1950	11
Gun	1950	13
Gunda	1950	7
Gunhild	1950	59
Gunn	1950	181
Gunnbjørg	1950	9
Gunnhild	1950	18
Gunnlaug	1950	15
Gunnvor	1950	17
Gunvor	1950	123
Guri	1950	59
Guro	1950	10
Gyda	1950	8
Gøril	1950	7
Hafsa	1950	0
Hala	1950	0
Haldis	1950	36
Halima	1950	0
Halldis	1950	23
Hamdi	1950	0
Hana	1950	0
Hanan	1950	0
Hanna	1950	25
Hannah	1950	0
Hanne	1950	61
Harriet	1950	21
Hatice	1950	0
Hedda	1950	0
Hedvig	1950	4
Hege	1950	20
Heidi	1950	14
Helen	1950	37
Helena	1950	7
Helene	1950	39
Helga	1950	97
Helin	1950	0
Helle	1950	8
Hennie	1950	0
Henny	1950	32
Henriette	1950	4
Henrikke	1950	0
Herborg	1950	8
Herdis	1950	32
Hermine	1950	0
Hiba	1950	0
Hild	1950	5
Hilda	1950	13
Hilde	1950	79
Hildegunn	1950	35
Hildur	1950	28
Hjørdis	1950	37
Hodan	1950	0
Hong	1950	0
Huda	1950	0
Hulda	1950	0
Iben	1950	0
Ida	1950	26
Idun	1950	5
Idunn	1950	0
Ieva	1950	0
Ilona	1950	0
Iman	1950	0
Ina	1950	0
Ine	1950	0
Ines	1950	0
Inga	1950	32
Ingebjørg	1950	103
Ingeborg	1950	90
Ingelin	1950	0
Inger	1950	956
Inger-Johanne	1950	17
Inger-Lise	1950	41
