Diagnose	aldersgruppe	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Luftveisinfeksjon	unge	207777	182705	172924	186045	224979	256357	252069	246269	140698	126724
Rygg	unge	17031	16953	17933	17601	17813	18517	16806	16866	14518	15859
Gikt/ledd	unge	7406	7366	7878	7840	7950	8251	7758	7974	7389	7558
Psykisk	unge	85405	87108	90671	94330	99540	110037	113348	117637	126674	151904
Astma/allergi/eksem	unge	87600	83914	95579	91897	94740	99303	98777	107523	113467	116081
Blodtrykk	unge	298	296	299	346	325	287	254	217	292	276
Hjerte	unge	1231	1253	1209	1125	1116	1042	1046	1092	1095	1208
Diabetes	unge	1681	1785	1771	1715	1816	1619	1749	1709	2009	1979
Kreft	unge	471	478	399	429	473	354	323	377	452	458
Underliv (kvinner)	unge	16057	17021	17751	17515	17857	19232	19987	21345	22100	23643
Mage/Tarm	unge	61596	65729	69913	69012	75744	82606	85190	87018	78115	81952
Hud	unge	61067	61964	66404	65849	66599	66673	68750	70898	70473	69227
Ulykke/skade	unge	63216	63848	65003	63962	65446	65941	65080	63486	55122	58756
Medfødt	unge	6675	6830	7050	6746	6466	6696	6752	6563	7422	8078
Svangerskap/Prevensjon	unge	19525	19519	19835	20508	20774	20254	19983	19128	20058	19631
Frykt for sykdom	unge	7917	8215	8364	8165	8003	8470	8178	8478	39870	27643
Admin	unge	15194	16243	19031	20071	21988	21311	23182	29795	43673	55883
Forebyggende	unge	16239	24857	27639	29034	31869	32528	32779	33702	30827	36424
Annet	unge	351503	351126	370083	366366	381552	401976	405021	408055	421816	529520
Luftveisinfeksjon	voksne	771774	709123	657780	706402	705044	708922	717232	718529	544737	528027
Rygg	voksne	400930	404239	415744	421595	419548	427618	421816	430383	452260	478161
Gikt/ledd	voksne	174865	177670	179924	185380	188919	187862	178697	175963	179208	183923
Psykisk	voksne	1077917	1083195	1104812	1128419	1150745	1189467	1229254	1289436	1412128	1498051
Astma/allergi/eksem	voksne	220724	221520	238038	235894	235804	243984	242527	268542	280211	285575
Blodtrykk	voksne	334470	327493	302240	285837	280232	272610	264064	258749	252728	259090
Hjerte	voksne	191485	177915	161884	146070	137587	128156	122313	118415	118264	115648
Diabetes	voksne	192064	188319	192355	196852	198765	206413	201222	204970	221100	234929
Kreft	voksne	82757	83586	87208	90197	92842	94339	96949	98036	113348	118159
Underliv (kvinner)	voksne	151085	156997	164166	162577	162970	171269	174439	179687	189741	202954
Mage/Tarm	voksne	304169	309481	327418	324703	333839	339430	344492	358659	364022	377183
Hud	voksne	130005	132397	137122	137987	137170	140796	144813	150341	153503	151663
Ulykke/skade	voksne	273469	282289	285428	291216	299422	304102	313392	307726	300384	310539
Medfødt	voksne	12566	12913	13304	13251	13873	14273	14651	15017	15479	16687
Svangerskap/Prevensjon	voksne	531718	524216	519064	521336	513818	503492	505853	489979	521734	536536
Frykt for sykdom	voksne	58803	61724	62094	59789	58039	59788	61326	63618	300955	148422
Admin	voksne	136871	136039	160512	169374	189246	178328	215131	277246	397822	481757
Forebyggende	voksne	167643	243723	273581	276912	279897	294490	280566	269432	284860	348252
Annet	voksne	2331339	2285142	2345769	2342889	2383662	2433255	2471895	2526011	2890802	3277654
Luftveisinfeksjon	eldre	138333	133013	126105	141766	138176	150857	150473	152177	92205	79484
Rygg	eldre	62394	65338	69208	75034	76331	81303	80283	83471	86269	94560
Gikt/ledd	eldre	98541	102209	105758	110545	112710	110688	98464	95971	96735	99441
Psykisk	eldre	129517	136127	144904	150146	157089	161350	164824	171580	196356	203548
Astma/allergi/eksem	eldre	55292	57728	59566	63543	66038	69925	70505	76053	75110	75699
Blodtrykk	eldre	294715	298581	289367	282542	283414	287381	293048	295952	296261	297688
Hjerte	eldre	518258	500883	464133	435058	397951	364453	334147	302742	285888	264253
Diabetes	eldre	141873	144616	151014	158809	164814	174896	177074	183411	196074	206700
Kreft	eldre	91984	96138	101906	107886	111688	115116	118889	118911	134212	135895
Underliv (kvinner)	eldre	13809	14484	15529	15788	15996	17102	17333	18081	19082	19413
Mage/Tarm	eldre	86273	89404	94637	94640	100020	103685	103332	108960	118924	123586
Hud	eldre	39048	40910	42505	43685	45279	47310	51013	52083	52758	53256
Ulykke/skade	eldre	68831	72972	79082	78826	80916	82482	88485	89327	87580	91016
Medfødt	eldre	1206	1260	1384	1315	1433	1490	1588	1676	1730	1878
Svangerskap/Prevensjon	eldre	0	0	0	0	0	0	0	0	0	0
Frykt for sykdom	eldre	11627	12137	12506	11545	11780	11855	11887	12027	39075	21487
Admin	eldre	71303	71751	82738	87679	93110	87859	99858	103530	116468	132775
Forebyggende	eldre	34551	55076	60081	63589	66284	68211	72468	71718	98239	115556
Annet	eldre	987886	1006465	1048801	1063070	1090797	1122969	1149811	1171525	1227697	1265824
Smerter	unge	91849	94069	99005	99806	100104	101831	97137	99500	88374	97978
Smerter	voksne	985835	1005217	1025324	1034751	1038046	1052396	1031074	1046153	1067890	1145150
Smerter	eldre	183241	191644	200080	208947	215481	222946	222567	231945	234879	252283
