Diagnose	aldersgruppe	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Luftveisinfeksjon	eldre	138333	133013	126105	141766	138176	150857	150473	152177	92205	79484
Lokale smerter	eldre	160553	168749	177200	185097	191106	197391	198748	207150	208598	223730
Rygg	eldre	62394	65338	69208	75034	76331	81303	80283	83471	86269	94560
smerter/muskel	eldre	22688	22895	22880	23850	24375	25555	23819	24795	26281	28553
Gikt/ledd	eldre	98541	102209	105758	110545	112710	110688	98464	95971	96735	99441
Psykisk	eldre	129517	136127	144904	150146	157089	161350	164824	171580	196356	203548
Astma/allergi/eksem	eldre	55292	57728	59566	63543	66038	69925	70505	76053	75110	75699
Blodtrykk	eldre	294715	298581	289367	282542	283414	287381	293048	295952	296261	297688
Hjerte	eldre	518258	500883	464133	435058	397951	364453	334147	302742	285888	264253
Diabetes	eldre	141873	144616	151014	158809	164814	174896	177074	183411	196074	206700
Kreft	eldre	91984	96138	101906	107886	111688	115116	118889	118911	134212	135895
Underliv (kvinner)	eldre	13809	14484	15529	15788	15996	17102	17333	18081	19082	19413
Mage/Tarm	eldre	86273	89404	94637	94640	100020	103685	103332	108960	118924	123586
Hud	eldre	39048	40910	42505	43685	45279	47310	51013	52083	52758	53256
Ulykke/skade	eldre	68831	72972	79082	78826	80916	82482	88485	89327	87580	91016
Medfødt	eldre	1206	1260	1384	1315	1433	1490	1588	1676	1730	1878
Svangerskap/Prevensjon	eldre	0	0	0	0	0	0	0	0	0	0
Frykt for sykdom	eldre	11627	12137	12506	11545	11780	11855	11887	12027	39075	21487
Admin	eldre	71303	71751	82738	87679	93110	87859	99858	103530	116468	132775
Forebyggende	eldre	34551	55076	60081	63589	66284	68211	72468	71718	98239	115556
Annet	eldre	987886	1006465	1048801	1063070	1090797	1122969	1149811	1171525	1227697	1265824
