Diagnose	aldersgruppe	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Luftveisinfeksjon	unge	207777	182705	172924	186045	224979	256357	252069	246269	140698	126724
Lokale smerter	unge	85006	87147	91722	92707	93147	95076	90989	93219	82919	92252
Rygg	unge	17031	16953	17933	17601	17813	18517	16806	16866	14518	15859
smerter/muskel	unge	6843	6922	7283	7099	6957	6755	6148	6281	5455	5726
Gikt/ledd	unge	7406	7366	7878	7840	7950	8251	7758	7974	7389	7558
Psykisk	unge	85405	87108	90671	94330	99540	110037	113348	117637	126674	151904
Astma/allergi/eksem	unge	87600	83914	95579	91897	94740	99303	98777	107523	113467	116081
Blodtrykk	unge	298	296	299	346	325	287	254	217	292	276
Hjerte	unge	1231	1253	1209	1125	1116	1042	1046	1092	1095	1208
Diabetes	unge	1681	1785	1771	1715	1816	1619	1749	1709	2009	1979
Kreft	unge	471	478	399	429	473	354	323	377	452	458
Underliv (kvinner)	unge	16057	17021	17751	17515	17857	19232	19987	21345	22100	23643
Mage/Tarm	unge	61596	65729	69913	69012	75744	82606	85190	87018	78115	81952
Hud	unge	61067	61964	66404	65849	66599	66673	68750	70898	70473	69227
Ulykke/skade	unge	63216	63848	65003	63962	65446	65941	65080	63486	55122	58756
Medfødt	unge	6675	6830	7050	6746	6466	6696	6752	6563	7422	8078
Svangerskap/Prevensjon	unge	19525	19519	19835	20508	20774	20254	19983	19128	20058	19631
Frykt for sykdom	unge	7917	8215	8364	8165	8003	8470	8178	8478	39870	27643
Admin	unge	15194	16243	19031	20071	21988	21311	23182	29795	43673	55883
Forebyggende	unge	16239	24857	27639	29034	31869	32528	32779	33702	30827	36424
Annet	unge	351503	351126	370083	366366	381552	401976	405021	408055	421816	529520
