Diagnose	aldersgruppe	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021
Luftveisinfeksjon	voksne	771774	709123	657780	706402	705044	708922	717232	718529	544737	528027
Lokale smerter	voksne	829990	847211	866750	873401	874537	884672	870706	881193	898678	961588
Rygg	voksne	400930	404239	415744	421595	419548	427618	421816	430383	452260	478161
smerter/muskel	voksne	155845	158006	158574	161350	163509	167724	160368	164960	169212	183562
Gikt/ledd	voksne	174865	177670	179924	185380	188919	187862	178697	175963	179208	183923
Psykisk	voksne	1077917	1083195	1104812	1128419	1150745	1189467	1229254	1289436	1412128	1498051
Astma/allergi/eksem	voksne	220724	221520	238038	235894	235804	243984	242527	268542	280211	285575
Blodtrykk	voksne	334470	327493	302240	285837	280232	272610	264064	258749	252728	259090
Hjerte	voksne	191485	177915	161884	146070	137587	128156	122313	118415	118264	115648
Diabetes	voksne	192064	188319	192355	196852	198765	206413	201222	204970	221100	234929
Kreft	voksne	82757	83586	87208	90197	92842	94339	96949	98036	113348	118159
Underliv (kvinner)	voksne	151085	156997	164166	162577	162970	171269	174439	179687	189741	202954
Mage/Tarm	voksne	304169	309481	327418	324703	333839	339430	344492	358659	364022	377183
Hud	voksne	130005	132397	137122	137987	137170	140796	144813	150341	153503	151663
Ulykke/skade	voksne	273469	282289	285428	291216	299422	304102	313392	307726	300384	310539
Medfødt	voksne	12566	12913	13304	13251	13873	14273	14651	15017	15479	16687
Svangerskap/Prevensjon	voksne	531718	524216	519064	521336	513818	503492	505853	489979	521734	536536
Frykt for sykdom	voksne	58803	61724	62094	59789	58039	59788	61326	63618	300955	148422
Admin	voksne	136871	136039	160512	169374	189246	178328	215131	277246	397822	481757
Forebyggende	voksne	167643	243723	273581	276912	279897	294490	280566	269432	284860	348252
Annet	voksne	2331339	2285142	2345769	2342889	2383662	2433255	2471895	2526011	2890802	3277654
